Source,Sector,Link,Search Keywords?,News/Media Link,Comments
AMWU - manufacturing,Worker association,https://www.amwu.org.au/,,https://www.amwu.org.au/media_releases,no updates since 2023 Nov
Australian Services Union,Worker association,http://www.asu.asn.au/,,http://www.asu.asn.au/news,
NSW Nurses and Midwives Association,Worker association,https://www.nswnma.asn.au/,,,
Nurses and Midwives,Worker association,https://www.nmsupport.org.au/,,https://www.nmsupport.org.au/news,
Health Services Union,Worker association,https://www.hsu.asn.au/,,https://www.hsu.asn.au/stay-informed/all,
Teachers Federation,Worker association,https://www.nswtf.org.au/,,https://www.nswtf.org.au/news/,
Unions NSW,Worker association,https://www.unionsnsw.org.au/,,https://unionsnsw.org.au/our-work/media/,
CFMMEU - Construction Forestry Maritime Mining and Energy Union,Worker association,https://www.cfmmeu.org.au/,,https://www.cfmmeu.org.au/news-centre,some are newspaper(jpg)
UK IOSH,WHS Association,https://www.ioshmagazine.com/,,https://www.ioshmagazine.com/categories/article-types/news,
UK IOSH,WHS Association,https://iosh.com/,,https://iosh.com/news-and-opinion,
Agriculture = weekly times now,Industry news,https://www.weeklytimesnow.com.au/,Y,https://www.weeklytimesnow.com.au/search-results?q=work+health+and+safety,
